6463391,[3.284342713311037]
15826,[34.0779702970297]
11611125,[0.6995002361799095]
295,[589.0]
1716,[121.73684210526315]
931770,[6.570583938273296]
31360828,[0.0]
459,[301.95238095238096]
,
,
,
,
,
,
,
,
,
 [0.6526860570197751],45010541
 [2.8458333719023448],7852736
 [57.354285714285716],10281
 [231.02803738317755],979
 [637.8085106382979],378
