欺诈
45c62b74940de26046e9fc5f08071346        0       0       7C      1       1       1               0               0       2       2900    0000    2       1       01      01      0               01      01   01       01              01      N       00      00      00      00      10000   1       NULL    S020000000      01      3                               S02     156     0                               1    0200     0200    19623668        19621700234     460000  400000          6011    051     001     00      00      00000001        01      806100060119800 0000    0600010000                                   01                               3                       61000000        61000000        156     156                                                     01      01      2016-07-03 23:28:31.0   2016-07-03 23:28:31.0 6       8802    2901    0016    9800    0105    0001    0105    0001    0105    0001    4806    2900    8802    2901    0105    0001
fe720f4ce34007699b15b21c03c7345e        0       0       41      1       1       1               0               0       2       2900    2210    2       1       01      01      0               01      01   01       01              01      Y100194 00      00      00      00      10000   1       NULL    S020000000      01      3                               S02     156     0                               1    0200     0200    19623568        16621483738     460000  400000          6011    051     001     00      00      00000001        01      806100060119800 0000    0600010000                                   01                               3                       61000000        61000000        156     156                                                     01      01      2016-09-30 23:26:49.0   2016-09-30 23:26:49.0 0       8802    2901    0016    9800    0439    2270    0439    2270    0308    5510    4806    2900    8802    2901    0439    2270
3c87de3d7ece813bc5ad926d75651143        0       0       A0      1       1       1               0               0       2       2900    2210    2       1       01      01      0               01      01   01       01              01      Y100194 00      00      00      00      10000   1       NULL    S020000000      01      3                               S02     156     0                               1    0200     0200    19623568        196217907000    460000  400000          6011    051     001     00      00      00000001        01      806100060119800 0000    0600010000                                   01                               3                       61000000        61000000        156     156                                                     01      01      2016-08-10 23:28:46.0   2016-08-10 23:28:46.0 0       8802    2901    0016    9800    0439    2270    0439    2270    0104    0000    4806    2900    8802    2901    0439    2270
70dda22dfa200774bdd91ebf09a78c9c        0       0       51      0       0       1               0               0       2       2900    0000    2       1       01      01      0               01      01   01       01              01      N       55      55      55      55      10000   0       NULL    S020000000      01      3                               S02     156     0                               1    0200     0200    18622908        19623568        460000  400000          6011    051     001     00      00      00000001        01      806100060119800 0000    0600010000                                   01                               3                       61000000        61000000        156     156                                                     01      01      2016-08-09 14:11:54.0   2016-08-09 14:11:54.0 0       8802    2901    0016    9800    0309    0000    0309    0000    0439    2270    4806    2900    8802    2901    0309    0000
6776f508296bf471cb349019996cc112        0       0       86      1       1       1               0               0       2       2900    1100    2       1       01      01      0               01      01   01       01              01      Y000000 00      00      00      00      10000   1       NULL    S020000000      01      3                               S02     156     0                               1    0200     0200    18623574        1662169112      460000  400000          6011    981     001     00      00      00000001        01      806100060119800 0000    0600010000                                   01                               3                       61000000        61000000        156     156                                                     01      01      2016-07-10 23:28:45.0   2016-07-10 23:28:45.0 0       8802    2901    0016    9800    0434    1100    0434    1100    0305    0000    4806    2900    8802    2901    0434    1100

正常

e8fa9d040b9fdf5904f83c9c0b859d08        0       0       91      1       1       1               0               0       2       1000    0000    2       1       01      02      0               01      01   01       01              01      Y018983 00      00      00      00      10000   1       S56     S560000000      08      3                               S56     156     0                               1    0200     0200    16622168	    000000  000000                  4816    051     001     00      00      01080209        08      898111448161445 0000    0500080000                                           01                               2                       61000000        61000000        156     156                                                     01      01      2016-07-01 19:09:30.0   2016-07-01 19:09:30.0 7       4802    1000    0004    9993    0105    0001    0105    9999	4802    1000    4802    1000    0105    0001    4802    1000
dbad6e6ea0f3380ee0816396675088c8        0       0       50      1       1       1               0               0       2       2900    0000    2       1       01      02      0               01      01   01       01              01      Y138402 00      00      00      00      10000   1       S22     S220000000      03      3                               S22     156     0                               1    0200     0200    16622576	    000000  000000                  5813    051     001     00      00      31942195        03      104310058127411 0000    0600030000                                           01                               2                       61000000        61000000        156     156                                                     01      01      2016-07-01 22:13:05.0   2016-07-01 22:13:05.0 7       0104    2900    0009    2900    0308    0000    0308    0010	0104    2900    0104    2900    0308    0000    0104    2900
caa736656de4c2ca47cfef47bf04213e        0       0       94      1       1       1               0               0       2       2900    0000    2       1       01      02      0               01      01   01       01              01      Y550623 00      00      00      00      10000   1       S20     S100100000      03      4                               S20     156     0                               1    0200     0200    16622576		000000  000000          		7011    012             06      06      29320176        03      100310170110798 0000    0500030000                                           01                               2                       61000000        61000000        156     156                                                     		  01      01      2016-07-01 14:09:30.0   2016-07-01 14:09:30.0 5       0100    2900    0009    2900    0308    0000    0308    0010	0100    2900    0100    2900    0308    0000    0100    2900
6143c0fd8fac0476b01d3e08a4c3bdfd        0       0       77      1       1       1               0               0       2       1600    0000    2       1       01      01      0               01      01   01       01              01      N       00      00      00      00      10000   1       S22     S220000000      03      3                               S22     156     0                               1    0200     0200    19623197		000000  000000          		6300    051     000     00      00      63001815        03      898140163000215 0000    0500030000                                           01                               2                       61000000        61000000        156     156                                                     		  01      01      2016-07-01 14:11:43.0   2016-07-01 14:11:43.0 0       4802    1610    0009    1600    0503    1680    0503    1680	4802    1610    4802    1610    0503    1680    4802    1610
c34b7095972cb1fc47e1a0648b0e5feb        0       0       51      1       1       1               0               0       2       5500    0000    2       1       01      02      0               01      01   01       01              01      Y412960 00      00      00      00      10000   1       S22     S220000000      03      1                               S22     156     0                               1    0200     0200    16622836		000000  000000          		5411    021             00      00      13463801        03      898431254112092 0000    0500030000                                           01                               2                       61000000        61000000        156     156                                                     		  01      01      2016-07-01 22:14:06.0   2016-07-01 22:14:06.0 8       4802    5500    0008    5500    0103    0000    0103    0001	4802    5670    4802    5500    0103    0000    6104    5500
